Nome;Pergunta;Resposta
Triatec;De que maneira Triatec deve ser administrado?;A dose inicial recomendada é de 2,5 mg de ramiprila uma vez ao dia. Dependendo da resposta do paciente, a dose pode ser aumentada em intervalos de 2 a 3 semanas, primeiro para 5 mg e depois até um máximo de 10 mg uma vez ao dia ou um diurético pode ser adicionado. Em pacientes tratados com diuréticos, pode ocasionalmente ocorrer hipotensão maior que a desejada após a primeira dose de Triatec. Devido a isto, se possível o tratamento com o diurético deve ser descontinuado 2 a 3 dias antes do início do tratamento com Triatec. Se não for possível, o tratamento inicial com Triatec deve começar com uma dose de 1,25 mg uma vez ao dia e, em seguida, ser ajustada conforme as necessidades do paciente. Os comprimidos devem ser tomados inteiros durante ou após as refeições com bastante líquido. Posologia ajustada em pacientes com comprometimento renal: a dose recomendada acima é adequada para pacientes com níveis de clearance de creatinina maior ou igual a 50 ml/min (creatinina sérica menor que 1,5 mg/dl). Para pacientes com níveis de clearance de creatinina entre 20 e 50 ml/min (creatinina sérica entre 1,5 e 3 mg/dl), a dose inicial e 1,25 mg de ramiprila uma vez ao dia e a dose máxima e 5 mg uma vez ao dia. Para pacientes com níveis de clearance de creatinina menor que 20 ml/min (creatinina sérica maior que 3 mg/dl), a dose inicial recomendada é também 1,25 mg de ramiprila em dias alternados, mas a dose de manutenção não deve exceder 2,5 mg uma vez ao dia. Posologia em pacientes com comprometimento hepático: em pacientes com comprometimento hepático, o metabolismo de ramiprila - com consequente formação do metabólito ativo ramiprilato - é retardado devido à atividade diminuída das esterases hepáticas, resultando em níveis plasmáticos elevados de ramiprila. O tratamento com Triatec deve por isso ser iniciado sob rigorosa supervisão médica e não deve exceder 2,5 mg por dia. - Superdosagem: em caso de superdosagem é de se esperar uma hipotensão excessiva. Pode ser necessário tratamento com infusão intravenosa de solução fisiológica e/ou angiotensina II.
Infralax;Como Infralax atua no organismo para produzir seus efeitos?;O Infralax apresenta na sua composição relaxante muscular, antiinflamatório e analgésico, indicados no tratamento do reumatismo, o qual em geral , está associado a queixas como a dor e sinais inflamatórios como inchaço, calor local e eventual limitação de mobilidade.
Nutraplus;Como usar Nutraplus?;Aplique uniformemente nas áreas ressecadas da pele 2 ou 3 vezes por dia. Use regularmente para manter a pele macia e hidratada, especialmente após exposição ao vento ou outras condições ressecantes.
Policlavumoxil;Quais são as contraindicações para Policlavumoxil?;A administração de Policlavumoxil é contraindicada a: mulheres grávidas especialmente no primeiro trimestre de gravidez, a crianças com idade inferior a 2 meses, pacientes com hipersensibilidade ás penicilinas ou a outros componentes da fórmula e a pacientes com disfunção do fígado ou icterícia associados ao uso de penicilinas.
Reducofen;Qual é a posologia recomendada para Reducofen?;1 cápsula ao dia, durante o almoço ou jantar. Reducofen, associado a uma dieta apropriada, constitui um tratamento sintomático de longa duração, que deve ser regularmente monitorado.Conservar o medicamento em temperatura ambiente (15º a 30ºC), proteger da luz e umidade.Desde que seguidos os cuidados de conservação, o prazo de validade de Reducofen é de 36 meses, a contar da data de fabricação (vide embalagem externa).
Lexotan;Quais são as contraindicações para Lexotan?;Lexotan está contraindicado para crianças, mulheres grávidas ou amamentando, pacientes com insuficiência respiratória grave, doença do fígado grave, síndrome de apneia do sono e para pacientes com alergia ao Bromazepam ou a outros componentes da fórmula.
Ginecol;Quais são as contraindicações para Ginecol?;Ginecol está contraindicado para pacientes com alergia ao Nitrato de Isoconazol ou a outros componentes da fórmula.
Dieloft;Como Dieloft atua no organismo para produzir seus efeitos?;Dieloft age sobre uma substância encontrada no cérebro, chamada de serotonina, aumentando sua disponibilidade e com isso aliviando os sintomas depressivos e ansiosos, típicos dos transtornos para os quais é indicado.
Azulfin;Qual é o propósito principal de Azulfin na área da saúde?;"Gastroenterologia: Azulfin é indicado no tratamento da retocolite ulcerativa inespecífica; colite ulcerativa média ou moderada; como terapia adjuvante na colite ulcerativa severa; doença de Crohn. Reumatologia: Azulfin é indicado no tratamento da artrite reumatóide e da espondilite anquilosante. Azulfin em comprimidos revestidos gastrorresistentes é indicado particularmente aos pacientes que não podem tomar comprimidos simples devido à intolerância gastrintestinal."
Targocid;Quais são os possíveis efeitos colaterais associados a Targocid?;Informe seu médico se você tem problemas de rim ou se é alérgico a vancomicina.
Sabril 500 mg;Qual é a finalidade do medicamento Sabril 500 mg?;Sabril 500 mg é indicado no tratamento de epilepsias e no tratamento de espasmos infantis ou Síndrome de West, em adultos e crianças.
Altargo;Quais são as contraindicações para Altargo?;Altargo está contraindicado para pacientes com alergia à Retapamulina ou a algum dos componentes da fórmula.
Coenzima Q10;O que Coenzima Q10 pretende tratar?;Coenzima Q10 é indicada para tratar deficiências em Coenzima Q10 ou ubidecarenona, que podem ser causadas por diferentes doenças no coração, nos pulmões ou na boca, por doenças neuromusculares ou por deficiências no sistema imune, em adultos.
Albocresil;Qual é a posologia recomendada para Albocresil?;As várias formas do Albocresil possibilitam o uso diversificado. Em casos apropriados, recomenda-se o tratamento combinado.Albocresil Solução Concentrada
Psorex;Como Psorex atua no organismo para produzir seus efeitos?;Psorex contém na sua fórmula propionato de clobetasol, um corticoide que atua na redução dos sintomas de inflamação da pele como coceira, sensação de queimação ou dor.
Stalevo comprimidos;Existem situações em que o uso de Stalevo comprimidos não é recomendado?;Este medicamento não deve ser usado em casos de hipersensibilidade aos componentes ativos e outros ingredientes da formulação, em casos de insuficiência hepática, glaucoma de ângulo estreito, feocromocitoma, uma vez que isso pode aumentar o risco de reações graves de hipersensibilidade e em pessoas que estejam tomando certos tipos de antidepressivos.
Piroxiflam;O que Piroxiflam pretende tratar?;Osteoartrose, artrite reumatóide, espondilite anquilosante, dor pós-operatória e pós-traumática, entorses, contusões, distensões musculares, luxações, tenossinovite, bursite, fibrosite, crise aguda de gota, dismenorréia. Antiinflamatório não hormonal com favorável perfil de eficácia e segurança e que permite o tratamento com uma única dose diária.
Daraprim;Qual é a finalidade do medicamento Daraprim?;Daraprim é indicado na prevenção e tratamento da malária e no tratamento da toxoplasmose congênita ou adquirida, em adultos e crianças.
Superan;Quais são as orientações específicas para utilizar Superan?;A posologia deve ser ajustada pelo médico em função da necessidade e da resposta do paciente ao produto.As doses diárias médias (que podem ser subdivididas em 3 a 4 tomadas segundo critério médico) são:Adultos - Comprimidos e solução injetável: 100 a 200 mg ( 2 a 4 comprimidos ou ampolas im ou iv) ao dia. Dose média: 3 comprimidos ou 3 ampolas ao dia.Crianças - Comprimidos (para crianças maiores de 6 anos): 25 mg (1/2 comprimido) 3 vezes ao dia. Solução injetével: nos casos agudos, começar com 25 mg (1/2 ampola) im ou iv lenta, prosseguindo com a forma gotas assim que possível. Gotas pediatricas: 2 a 6 mg (4 a 12 gotas) por kg de peso ao dia, subdivididas em 3 tomadas. Dose média: 5 mg (10 gotas) por kg de peso ao dia, subdivididas em 3 tomadas.
Clopixol depot;Quais são os processos biológicos desencadeados por Clopixol depot?;O Clopixol depot pertence a um grupo de medicamentos conhecidos como antipsicóticos, que atuam em áreas específicas do cérebro e ajudam a corrigir determinados desequilíbrios químicos que causam os sintomas da doença.
Cataflam comprimido;Quando não devo usar Cataflam comprimido?;O Ctaflam não deve ser usado por pessoas:
Piemonte;Como funciona Piemonte?;O Piemonte tem na sua composição montelucaste de sódio, que é um antagonista do receptor de leucotrienos, bloqueando a sua ação.
Valerato de Betametasona;Existem situações em que o uso de Valerato de Betametasona não é recomendado?;Este medicamento é contra-indicado para pacientes que apresentam alergia ao valerato de betametasona ou a qualquer outro componente da fórmula.
Ultraproct pomada;Qual é a posologia recomendada para Ultraproct pomada?;A pomada Ultraproct deve ser aplicada 2 a 4 vezes por dia, dependendo da necessidade e apenas após defecar e após limpar a região anal. O tratamento com Ultraproct deve ser continuado até pelo menos uma semana após os sintomas terem desaparecido e a pomada deve ser sempre aplicada em quantidade suficiente para cobrir toda a região afetada.
Alektos;Qual é o mecanismo de ação de Alektos?;Alektos é um medicamento que tem na sua composição bilastina, um anti-histamínico de segunda geração, altamente seletivo e que apresenta atividade anti-inflamatória.
Neolefrin Baby;Em que situações médicas é recomendado o uso de Neolefrin Baby?;Neolefrin Baby gotas ou Neolefrin Infantil é indicado para o tratamento da congestão nasal, coriza, dor e febre em bebês e crianças.
Uno ciclo;Quais são os riscos para a saúde relacionados ao uso de Uno ciclo?;É possível que algumas mulheres notem mudanças no ciclo menstrual típico (ciclos menores, hemorragia intermenstrual, sangramento irregular), dismenorréia, amenorréia transitória, prurido vulvar, tenso mamária, dores de estômago, náuseas, vômitos,cefaléias, retenção hidrossalina, mudanças subclÌnicas e transitórias detectadas nos testes de excreção do fígado, alterações emocionais e da libido, alterações do peso corpóreo e fenômenos de fotossensibilização (cloasma). Tontura, nervosismo, depressão, fogacho, acne, hipersensibilidade (prurido, tosse) e distúrbios visuais e auditivos so prováveis, uma vez que eles podem ocorrer com qualquer hormônio sexual, mas raramente foram relatados com Uno-Ciclo . Geralmente podem ocorrer no tratamento com contraceptivos hormonais outras reaçõs adversas tais como tromboflebite, trombose arterial ou venosa, eventostromboembólicos, derrame cerebral, cefaléias intensas (enxaqueca), hipertensão e neurorretinite o que poderia levar suspensão do tratamento, embora não tenham sido associadas ao uso de Uno-Ciclo. .
Vidaza;Quando não devo usar Vidaza?;Vidaza está contraindicado para mulheres grávidas ou que estejam amamentando, crianças e adolescentes com menos de 18 anos de idade, pacientes com câncer avançado do fígado e para pacientes com alergia a algum dos componentes da fórmula.
Proctyl supositórios;Como Proctyl supositórios atua no organismo para produzir seus efeitos?;O Proctyl é eficaz no tratamento das afecções no ânus e no reto, removendo o tecido lesado e mantendo intacto o tecido são, estimulando sua regeneração, prevenindo ou combatendo infecções locais e cessando o sangramento.
Forfig;Qual é a finalidade do medicamento Forfig?;O Forfig é indicado para auxiliar no tratamento das doenças do fígado.
Panoxyl gel;Em que circunstâncias eu não deveria utilizar Panoxyl gel?;O Panoxyl gel não deve ser usado por pessoas hipersensíveis ao peróxido de benzoíla ou a qualquer componente da fórmula.
Tetralysal cápsulas de 150 e 300 mg;Qual é a posologia recomendada para Tetralysal cápsulas de 150 e 300 mg?;Geralmente, a dose recomendada é de 300 mg por dia ou 150 mg pela manhã e 150 mg à noite, durante 12 semanas.
Elaprase;Em que circunstâncias eu não deveria utilizar Elaprase?;O Elaprase não deve ser usado em pessoas alérgicas a qualquer componente do medicamento.
Pharmaton Kiddi;Qual é a posologia recomendada para Pharmaton Kiddi?;A dose recomendada em crianças de 1 a 5 anos é de 7,5 ml por dia.
Lucentis;Quais os males que Lucentis pode me causar?;Assim como qualquer medicamento, Lucentis pode causar reações adversas, embora nem todas as pessoas as apresentem.ALGUNS EVENTOS ADVERSOS PODEM SER GRAVES E NECESSITAM DE ATENÇÃO MÉDICA IMEDIATA• Sinais de inflamação e/ou infecção no olho como vermelhidão , dor , sensibilidade à luz e/ou alterações na visão.• Ver flashes de luz com moscas volantes (vendo teias de aranha), progredindo para uma perda de visão ou visão borrada.• Sinais de derrame, como fraqueza ou paralisia dos membros ou face, dificuldade em falar ou entender. Se você apresentar qualquer um destes sinais, procure o prontosocorro pois cuidados médicos serão necessários imediatamente. Se você apresentar algum destes sintomas, informe o seu médico imediatamenteOS SEGUINTES EVENTOS ADVERSOS NO OLHO SÃO MUITO COMUNSEstes eventos adversos podem afetar mais de 1 em 10 pacientes. Inflamação do olho, sangramento do olho, distúrbio visual, dor no olho, pequenas partículasou manchas na sua visão (moscas volantes), mancha de sangue no olho, irritação do olho, sensação de ter cisco no olho, aumento da produção de lágrimas, inflamação ou infecção nas margens da pálpebra, olho seco, vermelhidão ou coceira do olho. Foi também observado, de forma muito comum, o aumento da pressão dentro do olho. Se algum destes eventos te afetar gravemente, informe o seu médico.OS SEGUINTES EVENTOS ADVERSOS NO OLHO SÃO COMUNS:Estes eventos adversos podem afetar entre 1 e 10 em cada 100 pacientes. Visão de flashes de luz com moscas volantes e sombras progredindo para uma perda de visão, diminuição da nitidez da visão, inchaço de uma parte do olho (úvea, córnea), catarata, arranhões na córnea (parte da frente do olho), sangramento no olho ou no local da injeção, secreção do olho com coceira, vermelhidão e inchaço (conjuntivite), sensibilidade à luz, desconforto do olho, inchaço da pálpebra e dor na pálpebra, visão borrada, inflamação da córnea. Se algum destes eventos te afetar gravemente, informe o seu médico.OS SEGUINTES EVENTOS ADVERSOS NO OLHO SÃO INCOMUNS:Estes eventos adversos podem afetar entre 1 e 10 em cada 1000 pacientes. Cegueira, bolsa de pus no olho, dor ou irritação no local de injeção, sensação estranha no olho, irritação da pálpebra, acúmulo de sangue na parte da frente do olho, infecção ou inflamação no interior do olho. Se algum destes eventos te afetar gravemente, informe o seu médico.OUTROS EVENTOS ADVERSOS NÃO VISUAIS:Inflamação da garganta, congestão nasal, corrimento nasal, dor de cabeça e dor na articulação são muito comuns. Acidente vascular cerebral, gripe, infecção do trato urinário (bexiga), baixo nível de glóbulos vermelhos (você pode apresentar cansaço, falta de ar, tonturas, pele pálida), ansiedade, tosse, náusea, reações alérgicas (rash, prurido, coceira, vermelhidão da pele) são comuns. Se algum destes eventos te afetar gravemente, informe o seu médico Se você notar algum evento adverso não listado nesta bula, informe seu médico ou farmacêutico.
